이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
누군가 내 몸에 빙의했다,kakaopage,"KALTA, 탐성",KALTA,로판,시즌 휴재,수,"1,492.3만",9.9,46,4,1일,"로맨스판타지,가족후회물,복수물,영혼체인지,빙의물,피폐물,역하렘,순정남,후회남,능력남,능력녀,도도녀,무심녀,뇌섹녀,사이다녀","*본 작품은 가상의 세계관 및 허구의 인물을 다루고 있습니다또한 가상의 세계이므로 현대 한국과 풍습/시대상이 다르니 감상에 참고 부탁드립니다*작품 내 등장하는 한의학 지식은 소설에 맞추어 재구성, 각색되었습니다*----------------------------------------지난 10년, 누군가가 내 몸에 빙의했다 곱게 쓰고 돌려줬다면 좋았을 텐데 '그 애'는내 몸으로 멋대로 결혼을 한 것도 모자라,남편에게 스토커처럼 매달려 왔다?""일단은, 이혼부터 하자""그동안 나를 헌신짝 취급한 남편,오물 취급했던 가족들, 다 버리고 새 시작을 하려고 했다그런데“떠난다고요? 당신이, 내 곁을?”내 말을 믿지 않는 남편과“왜 편애하십니까, 누님?”뜬금없이 질투하는 남동생“이 집에 계속 머물러라 너는 어디에도 갈 수 없다”줄곧 날 미워했으면서, 갑자기 집착하는 아빠까지?다들 갑자기 왜 이래?",https://page.kakao.com/content/61677168
밑바닥 마술사,kakaopage,Hyaku Hujishiro,Mishiro Orishima,판타지,완결,완결,30.7만,8.5,50,3,1일,"회귀,노력,성장,마법사,서포터,만능",태어날 때부터 정해진 “존재력” 랭킹에 따라 모든 운명이 결정되어 버리는 세계 포르테니아그곳에서 존재력 최하위 랭크인 알토는 열다섯살 때 자신의 연인 한나를 세계최강 마술사의 손에 의해 잃었다그녀를 구하지 못한 후회를 안고 살아온 알토는 두 번째 삶을 살 기회를 얻게 된다신이 내려준 특별한 힘 ‘공작 스킬’을 사용하여 15년 뒤의 한나의 목숨을 구하기 위해 제2의 인생을 내딛는다,https://page.kakao.com/content/63432660
꽃길까지 앞으로 한걸음,kakaopage,,죤,로판,시즌 휴재,수,999.1만,9.9,98,3,1일,"로맨스판타지,회귀물,가족물,다정남,능력남,존댓말남,능력녀,자상녀,사이다녀,치유물,힐링물,복수물,여주판타지,운명,짝사랑남","평생 힘을 뽑히며 살다가 결국 열여섯 살에 죽었다그렇게 모든 것이 끝난 줄 알았는데눈을 뜨니 과거로 돌아와 있었다다시 시작된 제물로서의 삶이번에도 평생 고통만 느끼다가 죽을 줄 알았는데갑자기 내 앞에 한 번도 본 적 없던 아빠가 나타났다나처럼 내 존재를 전혀 몰랐던 아빠가* * *“내 힘은 언제 가져갈 거야?”이반나의 말에 단테의 두 눈이 크게 흔들렸다“다들 그랬어 당신은 언제 가져가?”“……나는, 가져가지 않을 거다”“왜?”이반나는 이해할 수 없었다 모두가 제힘을 탐냈다인간을 위해 신께서 보내 주신 제물이라며 모두가 가지고 싶어 했다그런데 왜 이 사람은 거부하는 걸까?“이제는 누구도 네 힘을 빼앗아 가지 못할 거다 누구도 너를 괴롭히지 못할 거다 내가 너를 지켜 주겠다”“내 힘을 가져가겠다는 거네”“그러지 않는다고……”“다들 그렇게 말하면서 내 힘을 뽑아 갔어 날 감옥에 가둬 두고”고작 다섯 살의 아이가 한 말이라기엔 너무 잔혹했다 하지만 어린 이반나의 얼굴은 아무런 감정도 깃들어 있지 않았다 그게 당연하다는 듯완전히 망가져 버린 딸의 모습에 결국 단테는 완전히 무너져 내렸다",https://page.kakao.com/content/58273697
무한의 마법사,kakaopage,kiraz(REDICE STUDIO),테미스,판타지,시즌 휴재,수,"1,684.9만",9.9,66,4,1일,"정통,학원,천재,성장,마법사,노력","마굿간에 버려져 평민으로 키워진 아이, 시로네타고난 통찰력으로 글까지 깨우친 아이는도시로 나간 어느 날 그토록 궁금해하던 마법을 경험한다그 길로 마법사를 꿈꾸게 된 시로네하지만 신분의 장벽이 두터운 이 곳은 아이에게 냉혹하고,그는 채 어른이 되기도 전에 이 세상의 이면을 알아버리는데···어딘가 비틀어진 이 세계에서그는 자신이 꿈꾸던 마법사가 될 수 있을까?",https://page.kakao.com/content/60910969
"작가님, 이번 생은 여주인공입니다",kakaopage,SAN,이리타,로판,완결,완결,233.7만,9.8,74,3,1일,"로맨스판타지,빙의물,성장물,다정남,능력남,존댓말남,직진남,능력녀,외유내강,계약관계,드라마,권선징악,달달물,운명,사이다녀","""작가님은 아무래도 손으로 글 쓰는게 어려우신 것 같으니, 이번엔 직접 발로 뛰며 써보시는 게 좋을 것 같아요""자칭 내 팬이라는 신의 손에 끌려와 연중했던 소설 속 조연으로 빙의했다“죽을 각오로, 아니 살아남을 각오로 꼭 완결을 지으세요”소설을 완결시키지 못하면 죽음뿐이라는 신의 협박에 열일하던 중,여주인공이 내 눈앞에서 죽어버렸다?결국엔 대신 여주인공 대타로 구르게 된 작가가 펼치는 모험, 로맨스, 그리고 처절한 몸부림?",https://page.kakao.com/content/60248142
검신,kakaopage,청산,이시혁,무협,시즌 휴재,토,88.9만,9.4,57,3,1일,"정통,퓨전,노력,무림,성장,검,상인,지존","요동 최고의 현상범 추격자, 철심검귀 환유성이름 그대로 무심한 성격에 관직에 대한 욕심도 무엇 하나 없이, 그저 무료함을 달래기 위해 현상범 추격자가 된 환유성은 변방의 생활에 염증을 느끼며 날이 반밖에 없는 반검을 쥐고 강자들이 가득한 중원으로 향한다",https://page.kakao.com/content/61572364
계약 부부는 밤마다,kakaopage,코리,라다,로판,일시적 휴재,금,366.9만,9.9,69,4,1일,"로맨스판타지,회귀물,운명,소유욕/독점욕,능력남,계략남,집착남,능력녀,상처녀,계약관계,로맨틱코미디",친부에게 방치된 채 자라던 이네스는 그녀의 가능성을 알아본 양부에 의해 공작가에 입양된다하지만 그녀의 능력은 발현되지 않았고 그녀에게 유일한 빛이었던 여동생마저 죽은 뒤 우연히 가문에 저주가 내려진 것을 알게 되는데…그 저주를 풀 유일한 실마리가 자신임을 알게 된 이네스는 신탁의 내용에 따라 잔혹하기로 소문난 알제르트 공작과 결혼해야 한다,https://page.kakao.com/content/60804812
퇴마축귀,kakaopage,황성,황성,무협,완결,완결,176만,9.4,189,4,1일,"정통,무림,성장,조력자,도사,무당","소년도사 청풍, 천년저주와 맞서 싸우다  귀신 보는 능력을 지닌 소년도사 청풍과,신선들의 모임에 참석하려다 청풍의 귀력에 붙들린 무당파 시조 장삼풍  무당파에 입문한 청풍의 앞엔 유계의 귀신들과 굶주린 아귀들이 끊이질 않고,그 배후는 바로 천 년 전, 시조 장삼풍이 쫓아낸 무당산의 옛 주인 요괴면양?  도술과 법술, 온갖 저주와 흑법이 난무하는 새로운 무협활극천 년 전 장삼풍과 요괴면양 사이 벌어졌던 정마대전이 지금 다시 시작된다",https://page.kakao.com/content/62101502
만렙으로 사는 법,kakaopage,Team.SC4B(Terapin),Team.SC4B(Terapin),로판,시즌 휴재,수,355만,10.0,79,4,3일,"먼치킨,차원이동물,레이드물,여주판타지,능력녀,걸크러쉬,능글녀,사이다녀,까칠녀,우월녀,냉정녀,기억상실,여공남수,개그물,권선징악","스쳐도 크리티컬, 평타가 안 나가서 괴로운 만렙여신 강림게임 속 세계로 떨어진 그녀 X 신비주의 순정 꽃사슴남이 펼치는스트레스 프리・판타스틱・모험・로맨스실수로 클릭한 퀘스트창 때문에 이계로 소환당했다현실 같은 환상을 제공하는 게임 <아르카디아 온라인>닉네임 ‘혼세마왕’ 주세영은 졸지에 이세계 ‘아르카디아’로 떨어진다혼란스러움도 잠시, 만렙유저인 그녀에게 이세계 공략은 식은 죽 먹기귀여운 파티원들도 모으고, 던전 부숴 보물도 얻고, 청순가련한 미모의 꽃사슴남 ‘카라드’와 썸도 타는 그녀하지만 세영의 원세계 귀환을 조건으로 건 ‘주신’의 퀘스트는세영과 동료들을 장대하고 어두운 음모 속으로 얽어들어 간다게다가 퀘스트를 완료하려면 카라드를 희생할 수밖에 없다고……?레전드급 난관의 연속을 그녀는 돌파할 수 있을까?",https://page.kakao.com/content/59332586
최강인데 또 레벨업,kakaopage,Changpan Warrior,Changpan Warrior,판타지,연재중,월,154.5만,9.1,258,9,1일,"성장,조력자,이능력,초능력,무공,생존,먼치킨","대기업 천신 바이오의 계략으로 이상 현상과 변이 생물이 출현하는 후문명시대의 지구 평범한 대학생 하민재는 고향으로 돌아가던 도중, 자신의 특별한 능력을 각성하게 된다 자신을 눈엣가시로 여기며 제거하려는 천신 바이오에 맞서, 하민재는 끊임없이 강해진다",https://page.kakao.com/content/61399272
무신귀환록,kakaopage,,러프,무협,시즌 휴재,수,"1,794.2만",9.9,86,4,3시간,"퓨전,귀환,먼치킨,무림,육아,지존","그 누구도 맞설 수 없는 최흉의 인재(人災),무극신마, 단우현이대로 영원히 세상위에 군림할 줄 알았다중원의 질서를 지키는 팔선들에 의해 동정호에 봉인을 당하기 전까지는…세월이 흘러 천 년 후천 년이라는 시간은 단우현에게서 살심을 없애기에 충분했다변해버린 세상, 아는 사람이라고는 아무도 없는 고독, 남은 것은 허탈함과 공허함 뿐“바람이 흐르듯 세월도 흐르는구나 정말로 아무것도 남은 것이 없어”목적도, 삶의 의지도 잃고 정처없이 떠도는 단우현 앞에 나타난 자그마한 소녀 화소미누구에게도 기댈 곳 없어 보이는 소녀에게 단우현은 동질감을 느끼며 점점 마음의 문을 열기 시작한다“나는 단우현이다 나와 함께 가자꾸나”얼음장 같은 마음을 가진 무신과 귀엽고 순수한 소녀의마음을 따뜻하게 녹여 줄 평범하지 않은 한 가족의 중원 생활 이야기",https://page.kakao.com/content/59492385
폭군 오빠가 셋이래요,kakaopage,"km, 깨구리","박하, 은두",로판,완결,완결,"2,869.4만",9.9,123,4,1일,"로맨스판타지,육아물,성장물,기사물,가족물,신데렐라,잔잔물,치유물,힐링물","이름조차 없어 수요일로 불리는 요일 노예, 수요일작은 반항에 죽을 위기에 처한 그때,""━드디어 찾았군""하루아침에 오빠가 셋이나 생겨 버렸다아스카니어 황가의 저주를 풀 유일한 열쇠가 나라고?""지금 입고 있는 옷이 꽉 끼어서 더는 입지 못하게 될 정도로 건강해질 것그게 네 첫 번째 숙제란다”""걱정 마, 꼬맹아 못된 악당은 전부 오라버니가 혼내 줄게”""병아리 같아 작고, 약해 지켜 줄래 내가 지켜 줄 거야”그런데 폭군이라고 불리는 오빠들이 왜 나한테만 다정한 건데?갑자기 생긴 오빠들의 본격 막내 편애 로맨스,폭군 오빠가 셋이래요",https://page.kakao.com/content/56910985
더 이상 사랑하지 않는다,kakaopage,,수수,로판,완결,완결,"1,704.5만",9.9,105,4,2일,"로맨스판타지,후회남,무심녀,계약관계","가족에게도, 약혼자에게도 외면 받으며 살던 여주인공이 미련에서 벗어나 자신과 마찬가지로 사랑에 트라우마가 있는 남주인공과 결혼, 사랑함으로써 트라우마를 딛고 성장을 이룬다하녀의 딸로 태어나 부모의 사랑을 받지 못한 니베이아에게 비록 태중약혼의 상대이지만 발레르는 유일한 사랑이었다 하지만 10년 동안 약혼자 발레르에게 냉대받으며 파혼을 종용당했던 니베이아는 그에게, 그에 대한 사랑에 지쳐 그를 떠나기로 결심하고 전략에 걸맞은 결혼 상대가 필요했던 인접국 빈프리트의 황제 아렌트에게 청혼한다 가장 중요한 계약 조건은 '사랑하지 않을 것' 하지만 사랑처럼 뜻대로 되지 않는 것은 세상에 없는 법이어서, 아렌트는 상처받고 마음의 문을 닫은 니베이아에게 약속과 달리 사랑을 느끼고, 뒤늦게 니베이아에 대한 애정을 깨달은 발레르는 후회하며 그 사랑을 되찾고 싶어한다 때를 놓친 사랑의 쓸쓸함과 다시 시작하는 사랑의 두근거림을 한꺼번에 보여주는 로맨틱한 이야기",https://page.kakao.com/content/56215360
로열 메리지,kakaopage,희야,강렬,로판,시즌 휴재,토,784.4만,10.0,72,3,1일,"로맨스판타지,첫사랑,상처남,소유욕/독점욕,카리스마남,능력남,철벽남,능력녀,우월녀","돈과 미모의 상징, 프레이야 제국 최고의 신붓감 타티아나 카르티엔믿었던 약혼자의 배신에 절망도 잠시, 이보다 더 큰 충격이 있을 줄은 몰랐다“며칠만 좀 참지, 멍청하게 들킬 건 뭐람”내 편이라 믿었던 가족 모두가 내 약혼자의 본성을 알고 있었다니절대 혼인하지 않겠다는 타티아나의 엄포에 그녀를 애지중지했던 어머니가 등을 돌렸다“싫다면 이 집에서 나가야겠지”“……”“물론 내가 준 것들은 전부 놓아두고”남은 시간은 일주일 남편감을 구하지 못하면 맨몸으로 거리에 내쫓기게 생겼다이대로 끝인가 싶은 순간 떠오른 마지막 한 사람온갖 멸시를 받던 사생아 출신 용병에서 3년 만에 프레이야의 전쟁 영웅으로 돌아온 붉은 눈의 사신, 카이넬 타운센트막다른 골목, 밑져야 본전이 험한 세상에 살아남기 위해서라면 악마의 손이라도 잡아야만 한다“타티아나 카르티엔 당신은 이제 누가 뭐래도 타운센트 부인이야 날 먼저 찾아와 혼인을 청했으면 끝까지 책임을 져야지”",https://page.kakao.com/content/59624189
